,object_id,taxonomy,name
3509,11586,event,Interview
3511,11589,event,Produces
3516,11595,event,Produces
3518,11599,event,Nomination
3522,11607,event,Announcement
3524,11609,event,Graduation
3526,11614,event,Announcement
3530,11617,event,Burglary
3532,11620,event,Interview
3535,11622,event,Donation
3537,11624,event,Founding
3539,11626,event,Birth
3542,11629,event,Arrest
3543,11629,event,Jail
3545,11630,event,Moves Country
3555,11644,event,Makes Statement
3557,11645,event,Announcement
3560,11654,event,Birth
3564,11656,event,Announcement
3571,11665,event,Kidnapped
3576,11680,event,Founding
3578,11681,event,Death
3579,11681,event,Arrest
3587,11693,event,Death
3591,11695,event,Announcement
3594,11698,event,Marriage
3603,11708,event,Announcement
3605,11709,event,Death
3610,11715,event,Birth
3612,11716,event,Birth
3614,11717,event,Marriage
3616,11721,event,Announcement
3624,11738,event,Announcement
3629,11750,event,Fired
3631,11753,event,Judgement
3634,11754,event,Announcement
3637,11755,event,Announcement
3639,11761,event,TV Appearance
3641,11762,event,Film Appearance
3643,11763,event,Film Appearance
3645,11764,event,Film Appearance
3647,11765,event,Film Appearance
3649,11766,event,Film Appearance
3651,11767,event,Hired
3653,11769,event,Music Video
3656,11771,event,Film Appearance
3658,11773,event,Film Appearance
3660,11774,event,Film Appearance
3662,11775,event,Film Appearance
3664,11776,event,Film Appearance
3666,11778,event,Film Appearance
3668,11779,event,Film Appearance
3670,11780,event,Film Appearance
3672,11781,event,Film Appearance
3674,11782,event,Birth
3683,11806,event,Acquisition
3689,11810,event,Acquisition
3695,11819,event,Announcement
3699,11823,event,Founding
3702,11835,event,Birth
3704,11837,event,Announcement
3706,11840,event,Announcement
3720,11861,event,Makes Statement
3729,11876,event,Birth
3751,11894,event,Makes Statement
3757,11900,event,Announcement
3763,11904,event,Warrant
3768,11909,event,Warrant
3771,11910,event,Announcement
3776,11914,event,Warrant
3779,11917,event,Announcement
3781,11920,event,Interview
3782,11920,event,Magazine Cover
3794,11953,event,Film Appearance
3802,11964,event,Announcement
3804,11965,event,Announcement
3806,11968,event,Press Conference
3808,11969,event,Film Appearance
3809,11969,event,Interview
3814,11990,event,Marriage
3819,11996,event,Announcement
3821,11997,event,Marriage
3824,11999,event,Film Appearance
3826,12000,event,Birth
3828,12003,event,Divorce
3830,12005,event,Film Appearance
3832,12006,event,Marriage
3834,12009,event,Play/Show Appearance
3836,12012,event,Film Appearance
3838,12013,event,Divorce
3840,12014,event,Film Appearance
3844,12020,event,Illness
3847,12034,event,Graduation
3850,12039,event,Book
3852,12041,event,Book
3854,12044,event,Book
3857,12047,event,Book
3859,12049,event,Book
3866,12054,event,Announcement
3868,12055,event,Film Appearance
3871,12058,event,Book
3874,12060,event,Marriage
3876,12062,event,Book
3878,12064,event,Book
3882,12067,event,Book
3884,12069,event,Book
3888,12070,event,Marriage
3890,12072,event,Book
3892,12074,event,Book
